make,model,proxy_code
audi,a4,A
audi,a6,B
audi,a8,C
audi,q7,D
bentley,continental,E
bmw,3,F
bmw,5,G
bmw,6,H
bmw,7,I
bmw,x1,J
bmw,x3,K
bmw,x4,L
bmw,x5,M
bmw,z4,N
datsun,go,O
datsun,redi-go,P
datsun,redigo,Q
ferrari,gtc4lusso,R
force,gurkha,S
ford,aspire,T
ford,ecosport,U
ford,endeavour,V
ford,figo,W
ford,freestyle,X
honda,amaze,Y
honda,city,Z
honda,civic,a
honda,cr,b
honda,cr-v,c
honda,jazz,d
honda,wr-v,e
hyundai,aura,f
hyundai,creta,g
hyundai,elantra,h
hyundai,grand,i
hyundai,i10,j
hyundai,i20,k
hyundai,santro,l
hyundai,tucson,m
hyundai,venue,n
hyundai,verna,o
isuzu,d-max,p
isuzu,mux,q
jaguar,f-pace,r
jaguar,xe,s
jaguar,xf,t
jeep,compass,u
jeep,wrangler,v
kia,carnival,w
kia,seltos,x
land,rover rover,y
lexus,es,z
lexus,nx,1
lexus,rx,2
mahindra,alturas,3
mahindra,bolero,4
mahindra,kuv,5
mahindra,kuv100,6
mahindra,marazzo,7
mahindra,scorpio,8
mahindra,thar,9
mahindra,xuv300,0
mahindra,xuv500,BA
maruti,alto,BB
maruti,baleno,BC
maruti,celerio,BD
maruti,ciaz,BE
maruti,dzire lxi,BF
maruti,dzire vxi,BG
maruti,dzire zxi,BH
maruti,eeco,BI
maruti,ertiga,BJ
maruti,ignis,BK
maruti,s-presso,BL
maruti,swift,BM
maruti,swift dzire,BN
maruti,vitara,BO
maruti,wagon r,BP
maruti,xl6,BQ
maserati,ghibli,BR
maserati,quattroporte,BS
mercedes-amg,c,BT
mercedes-benz,c-class,BU
mercedes-benz,cls,BV
mercedes-benz,e-class,BW
mercedes-benz,gl-class,BX
mercedes-benz,gls,BY
mercedes-benz,s-class,BZ
mg,hector,Ba
mini,cooper,Bb
nissan,kicks,Bc
nissan,x-trail,Bd
porsche,cayenne,Be
porsche,macan,Bf
porsche,panamera,Bg
renault,duster,Bh
renault,kwid,Bi
renault,triber,Bj
rolls-royce,ghost,Bk
skoda,octavia,Bl
skoda,rapid,Bm
skoda,superb,Bn
tata,altroz,Bo
tata,harrier,Bp
tata,hexa,Bq
tata,nexon,Br
tata,safari,Bs
tata,tiago,Bt
tata,tigor,Bu
toyota,camry,Bv
toyota,fortuner,Bw
toyota,glanza,Bx
toyota,innova,By
toyota,yaris,Bz
volkswagen,polo,B1
volkswagen,vento,B2
volvo,s90,B3
volvo,xc,B4
volvo,xc60,B5
volvo,xc90,B6
