Make,Model,Variant,Colour,Kms Driven,Yr Of Mfg,Date Of Reg,Fuel Type,Transmission,Owner Type,Closing Price
Honda,City,S,Red,167980,1.2016,20.04.2016,Petrol,MT,1st,260000
MG,Windsor,EXCLUSIVE,WHITE,7242,11/11/2024,10/01/2025,Electrical,AT,1st,1120000
Mahindra,Thar,LX 2WD,E WHITE,47715,5.2023,16.06.2023,Diesel,MT,1st,900000
Maruti,Baleno,ZETA,GREY,106190,9.2020,29.12.2020,Petrol,MT,1st,445000
MG,Gloster,4*4 6s Savvy,W White,73285,2.2021,07.07.2021,Diesel,AT,1st,2000000
MG,Hector,SHARP,G RED,17660,8.2022,23.09.2022,Petrol,CVT,1st,1180000
Maruti,Swift,VXI,MET MAGMA GREY,23153,1.2022,21/03/2022,Petrol,MT,1st,500000
Skoda,Rapid,ELEGENCE,WHITE,110044,6.2015,18.02.2016,Petrol,MT,1st,265000
MG,Astor,SHARP,BLACK,29240,12.2021,29.12.2021,Petrol,MT,1st,765000
Hyundai,Santro,XO,REAL EARTH,53380,2.2007,24.03.2007,Petrol,MT,2nd,65000
Ford,Ecosport,TITANIUM+,RED,82468,9.2016,17.10.2016,Diesel,MT,2nd,450000
MG,Hector Plus,SHARP 1.5,CANDY WHITE,41315,6.2022,12/07/2022,Petrol,CVT,1st,1050000
Maruti,Swift,VXI O,GREY,67702,01/2017,13/04/2017,Petrol,MT,1st,305000
MG,Windsor,ESSENCE,T GREEN,9117,01/1900,15.03.2025,Electrical,AT,1st,1350000
Honda,Brio,S,Urban Titunium,95720,5.2012,11.07.2012,Petrol,MT,1st,175000
Hyundai,Venue,Sx+,Blue,68667,2.2020,17.03.2020,Petrol,DCT,1st,500000
Maruti,Swift Dzire,ZDI,GREY,115038,9.2016,31.10.2016,Diesel,AMT,1st,370000
Ford,Figo Aspire,Trend,Grey,28857,9.2015,19.12.2025,Petrol,MT,1st,267500
MG,Hector Plus,SHARP 6STR,S BLACK,36345,3.2021,16.11.2021,Petrol,MT,1st,1035000
Maruti,Celerio,Zxi(O),Petrol,58421,8.2016,10.10.2016,Petrol,AMT,1st,220000
Honda,Wr-V,1.2 VX,MODERN STEEL METALLIC,28742,5.2021,16/09/2021,Petrol,MT,1st,555000
Hyundai,Santro,XS,FAREST DEW,149605,10.2004,03.01.2004,Petrol,MT,1st,45000
Renault,Kwid,RXT,Brone,44530,4.2019,28.06.2019,Petrol,AT,1st,270000
